Date,City,New Cases,New Deaths,New Recoverd
01-Mar,Suleimany,4,1,0
11-Mar,Erbil,3,0,0
11-Mar,Kurdistan,12,0,1
13-Mar,Erbil,1,0,0
13-Mar,Suleimany,7,0,0
13-Mar,Halabja,1,0,0
15-Mar,Suleimany,6,0,0
15-Mar,Kurdistan,0,0,4
16-Mar,Suleimany,3,0,0
16-Mar,Kurdistan,0,0,4
17-Mar,Suleimany,1,0,0
19-Mar,Suleimany,2,0,0
19-Mar,Dohuk,1,0,0
19-Mar,Kurdistan,0,0,4
20-Mar,Suleimany,6,0,0
21-Mar,Erbil,1,0,0
21-Mar,Suleimany,6,0,0
22-Mar,Suleimany,10,0,0
22-Mar,Erbil,12,0,0
23-Mar,Suleimany,8,1,0
23-Mar,Dohuk,1,0,0
24-Mar,Erbil,6,0,0
24-Mar,Suleimany,6,0,0
25-Mar,Suleimany,1,0,0
26-Mar,Suleimany,1,0,0
27-Mar,Erbil,8,0,0
27-Mar,Dohuk,5,0,0
27-Mar,Suleimany,1,0,0
27-Mar,Kurdistan,0,0,26
28-Mar,Erbil,8,0,0
28-Mar,Halabja,1,0,0
28-Mar,Kurdistan,0,0,12
29-Mar,Erbil,3,0,0
29-Mar,Suleimany,1,0,0
29-Mar,Dohuk,2,0,0
29-Mar,Kurdistan,0,0,5
30-Mar,Erbil,8,0,0
30-Mar,Suleimany,14,0,0
31-Mar,Erbil,1,0,0
31-Mar,Suleimany,5,0,0
31-Mar,Dohuk,3,0,0
01-Apr,Erbil,9,0,0
01-Apr,Suleimany,5,0,0
01-Apr,Dohuk,3,0,0
01-Apr,Kurdistan,0,0,5
01-Apr,Halabja,5,0,0
02-Apr,Erbil,2,0,0
02-Apr,Suleimany,7,0,0
03-Apr,Erbil,3,0,0
03-Apr,Suleimany,9,0,0
03-Apr,Halabja,6,0,0
05-Apr,Erbil,18,0,0
05-Apr,Erbil,3,0,2
05-Apr,Suleimany,4,1,0
05-Apr,Kurdistan,0,0,15
06-Apr,Erbil,41,0,0
06-Apr,Suleimany,3,0,0
06-Apr,Kurdistan,0,0,10
07-Apr,Suleimany,2,0,0
07-Apr,Erbil,5,0,0
07-Apr,Dohuk,3,0,0
07-Apr,Halabja,1,0,0
07-Apr,Kurdistan,0,0,17
08-Apr,Erbil,20,0,0
08-Apr,Suleimany,1,0,0
08-Apr,Kurdistan,0,0,14
09-Apr,Erbil,8,0,0
09-Apr,Halabja,1,0,0
09-Apr,Suleimany,4,0,0
09-Apr,Kurdistan,0,0,4
10-Apr,Erbil,2,0,0
10-Apr,Kurdistan,0,0,11
10-Apr,Suleimany,1,1,0
11-Apr,Kurdistan,0,0,11
12-Apr,Erbil,1,0,0
12-Apr,Suleimany,4,0,0
12-Apr,Suleimany,0,0,4
